NMS Number Block: Number Block,Block Status,CP Name,Geographic Number Length,Allocation Date,Notes
2604,Protected,,4+6,,
2605,Protected,,4+6,,
2606,Protected,,4+6,,
2607,Protected,,4+6,,
2608,Protected,,4+6,,
2609,Protected,,4+6,,
2610,Protected,,4+6,,
2611,Protected,,4+6,,
2612,Protected,,4+6,,
2613,Protected,,4+6,,
2614,Protected,,4+6,,
2615,Protected,,4+6,,
2616,Protected,,4+6,,
2617,Protected,,4+6,,
2618,Protected,,4+6,,
2619,Protected,,4+6,,
2620,Protected,,4+6,,
2621,Protected,,4+6,,
2622,Protected,,4+6,,
2623,Protected,,4+6,,
2624,Protected,,4+6,,
2625,Protected,,4+6,,
2626,Protected,,4+6,,
2627,Protected,,4+6,,
2628,Protected,,4+6,,
2629,Protected,,4+6,,
2630,Protected,,4+6,,
2631,Protected,,4+6,,
2632,Protected,,4+6,,
2633,Protected,,4+6,,
2634,Protected,,4+6,,
2635,Protected,,4+6,,
2636,Protected,,4+6,,
2637,Protected,,4+6,,
2638,Protected,,4+6,,
2639,Protected,,4+6,,
2640,Protected,,4+6,,
2641,Protected,,4+6,,
2642,Protected,,4+6,,
2643,Protected,,4+6,,
2644,Protected,,4+6,,
2645,Protected,,4+6,,
2646,Protected,,4+6,,
2647,Protected,,4+6,,
2648,Protected,,4+6,,
2649,Protected,,4+6,,
2650,Protected,,4+6,,
2651,Protected,,4+6,,
2652,Protected,,4+6,,
2653,Protected,,4+6,,
2654,Protected,,4+6,,
2655,Protected,,4+6,,
2656,Protected,,4+6,,
2657,Protected,,4+6,,
2658,Protected,,4+6,,
2659,Protected,,4+6,,
2660,Protected,,4+6,,
2661,Protected,,4+6,,
2662,Protected,,4+6,,
2663,Protected,,4+6,,
2664,Protected,,4+6,,
2665,Protected,,4+6,,
2666,Protected,,4+6,,
2667,Protected,,4+6,,
2668,Protected,,4+6,,
2669,Protected,,4+6,,
2670,Protected,,4+6,,
2671,Protected,,4+6,,
2672,Protected,,4+6,,
2673,Protected,,4+6,,
2674,Protected,,4+6,,
2675,Protected,,4+6,,
2676,Protected,,4+6,,
2677,Protected,,4+6,,
2678,Protected,,4+6,,
2679,Protected,,4+6,,
2680,Protected,,4+6,,
2681,Protected,,4+6,,
2682,Protected,,4+6,,
2683,Protected,,4+6,,
2684,Protected,,4+6,,
2685,Protected,,4+6,,
2686,Protected,,4+6,,
2687,Protected,,4+6,,
2688,Protected,,4+6,,
2689,Protected,,4+6,,
2690,Protected,,4+6,,
2691,Protected,,4+6,,
2692,Protected,,4+6,,
2693,Protected,,4+6,,
2694,Protected,,4+6,,
2695,Protected,,4+6,,
2696,Protected,,4+6,,
2697,Protected,,4+6,,
2698,Protected,,4+6,,
2699,Protected,,4+6,,
2700,Protected,,4+6,,
2701,Protected,,4+6,,
2702,Protected,,4+6,,
2703,Protected,,4+6,,
2704,Protected,,4+6,,
2705,Protected,,4+6,,
2706,Protected,,4+6,,
2707,Protected,,4+6,,
2708,Protected,,4+6,,
2709,Protected,,4+6,,
2710,Protected,,4+6,,
2711,Protected,,4+6,,
2712,Protected,,4+6,,
2713,Protected,,4+6,,
2714,Protected,,4+6,,
2715,Protected,,4+6,,
2716,Protected,,4+6,,
2717,Protected,,4+6,,
2718,Protected,,4+6,,
2719,Protected,,4+6,,
2720,Protected,,4+6,,
2721,Protected,,4+6,,
2722,Protected,,4+6,,
2723,Protected,,4+6,,
2724,Protected,,4+6,,
2725,Protected,,4+6,,
2726,Protected,,4+6,,
2727,Protected,,4+6,,
2728,Protected,,4+6,,
2729,Protected,,4+6,,
2730,Protected,,4+6,,
2731,Protected,,4+6,,
2732,Protected,,4+6,,
2733,Protected,,4+6,,
2734,Protected,,4+6,,
2735,Protected,,4+6,,
2736,Protected,,4+6,,
2737,Protected,,4+6,,
2738,Protected,,4+6,,
2739,Protected,,4+6,,
2740,Protected,,4+6,,
2741,Protected,,4+6,,
2742,Protected,,4+6,,
2743,Protected,,4+6,,
2744,Protected,,4+6,,
2745,Protected,,4+6,,
2746,Protected,,4+6,,
2747,Protected,,4+6,,
2748,Protected,,4+6,,
2749,Protected,,4+6,,
2750,Protected,,4+6,,
2751,Protected,,4+6,,
2752,Protected,,4+6,,
2753,Protected,,4+6,,
2754,Protected,,4+6,,
2755,Protected,,4+6,,
2756,Protected,,4+6,,
2757,Protected,,4+6,,
2758,Protected,,4+6,,
2759,Protected,,4+6,,
2760,Protected,,4+6,,
2761,Protected,,4+6,,
2762,Protected,,4+6,,
2763,Protected,,4+6,,
2764,Protected,,4+6,,
2765,Protected,,4+6,,
2766,Protected,,4+6,,
2767,Protected,,4+6,,
2768,Protected,,4+6,,
2769,Protected,,4+6,,
2770,Protected,,4+6,,
2771,Protected,,4+6,,
2772,Protected,,4+6,,
2773,Protected,,4+6,,
2774,Protected,,4+6,,
2775,Protected,,4+6,,
2776,Protected,,4+6,,
2777,Protected,,4+6,,
2778,Protected,,4+6,,
2779,Protected,,4+6,,
2780,Protected,,4+6,,
