NMS Number Block: Number Block,Block Status,CP Name,Non Geo Number Length,Allocation Date,Notes
3003 59,Free,,10 digit numbers,,
3003 60,Free,,10 digit numbers,,
3003 61,Free,,10 digit numbers,,
3003 62,Free,,10 digit numbers,,
3003 63,Free,,10 digit numbers,,
3003 64,Free,,10 digit numbers,,
3003 65,Allocated,Telecoms World Limited,10 digit numbers,18/12/2007,
3003 66,Free,,10 digit numbers,,
3003 67,Free,,10 digit numbers,,
3003 68,Free,,10 digit numbers,,
3003 69,Allocated,BT,10 digit numbers,29/08/2013,
3003 70,Allocated,Zestel Limited,10 digit numbers,19/02/2013,
3003 71,Free,,10 digit numbers,,
3003 72,Free,,10 digit numbers,,
3003 73,Allocated,Gamma Telecom Holdings Limited,10 digit numbers,24/11/2017,
3003 74,Free,,10 digit numbers,,
3003 75,Free,,10 digit numbers,,
3003 76,Free,,10 digit numbers,,
3003 77,Free,,10 digit numbers,,
3003 78,Free,,10 digit numbers,,
3003 79,Free,,10 digit numbers,,
3003 80,Free,,10 digit numbers,,
3003 81,Free,,10 digit numbers,,
3003 82,Free,,10 digit numbers,,
3003 83,Free,,10 digit numbers,,
3003 84,Free,,10 digit numbers,,
3003 85,Free,,10 digit numbers,,
3003 86,Free,,10 digit numbers,,
3003 87,Free,,10 digit numbers,,
3003 88,Free,,10 digit numbers,,
3003 89,Free,,10 digit numbers,,
3003 90,Free,,10 digit numbers,,
3003 91,Free,,10 digit numbers,,
3003 92,Free,,10 digit numbers,,
3003 93,Free,,10 digit numbers,,
3003 94,Free,,10 digit numbers,,
3003 95,Free,,10 digit numbers,,
3003 96,Free,,10 digit numbers,,
3003 97,Free,,10 digit numbers,,
3003 98,Free,,10 digit numbers,,
3003 99,Free,,10 digit numbers,,
3004 00,Allocated,AQL Wholesale Ltd,10 digit numbers,26/03/2007,
3004 01,Free,,10 digit numbers,,
3004 02,Free,,10 digit numbers,,
3004 03,Free,,10 digit numbers,,
3004 04,Allocated,Nexbridge Communications Limited,10 digit numbers,09/01/2012,
3004 05,Free,,10 digit numbers,,
3004 06,Free,,10 digit numbers,,
3004 07,Free,,10 digit numbers,,
3004 08,Free,,10 digit numbers,,
3004 09,Free,,10 digit numbers,,
3004 10,Free,,10 digit numbers,,
3004 11,Free,,10 digit numbers,,
3004 12,Free,,10 digit numbers,,
3004 13,Free,,10 digit numbers,,
3004 14,Allocated,Nexus Telecommunications Limited,10 digit numbers,26/02/2013,
3004 15,Free,,10 digit numbers,,
3004 16,Free,,10 digit numbers,,
3004 17,Free,,10 digit numbers,,
3004 18,Free,,10 digit numbers,,
3004 19,Free,,10 digit numbers,,
3004 20,Free,,10 digit numbers,,
3004 21 0,Allocated,Gamma Telecom Holdings Limited,10 digit numbers,02/03/2021,
3004 21 1,Allocated,Virgin Media Limited,10 digit numbers,07/04/2016,
3004 21 2,Allocated,Gamma Telecom Holdings Limited,10 digit numbers,02/03/2021,
3004 21 3,Allocated,Gamma Telecom Holdings Limited,10 digit numbers,02/03/2021,
3004 21 4,Allocated,Gamma Telecom Holdings Limited,10 digit numbers,02/03/2021,
3004 21 5,Allocated,Gamma Telecom Holdings Limited,10 digit numbers,02/03/2021,
3004 21 6,Allocated,Gamma Telecom Holdings Limited,10 digit numbers,02/03/2021,
3004 21 7,Allocated,Gamma Telecom Holdings Limited,10 digit numbers,02/03/2021,
3004 21 8,Allocated,Gamma Telecom Holdings Limited,10 digit numbers,02/03/2021,
3004 21 9,Allocated,Gamma Telecom Holdings Limited,10 digit numbers,02/03/2021,
3004 22,Allocated,Gamma Telecom Holdings Limited,10 digit numbers,11/12/2020,
3004 23,Allocated,Virgin Media Limited,10 digit numbers,07/04/2016,
3004 24,Allocated,CINOS LIMITED,10 digit numbers,12/07/2022,
3004 25,Allocated,CINOS LIMITED,10 digit numbers,12/07/2022,
3004 26,Allocated,CINOS LIMITED,10 digit numbers,12/07/2022,
3004 27,Allocated,Lumen Technologies UK Limited,10 digit numbers,07/07/2022,
3004 28,Allocated,Lumen Technologies UK Limited,10 digit numbers,07/07/2022,
3004 29,Allocated,Lumen Technologies UK Limited,10 digit numbers,07/07/2022,
3004 30,Allocated,Gamma Telecom Holdings Limited,10 digit numbers,20/11/2023,
3004 31,Allocated,Gamma Telecom Holdings Limited,10 digit numbers,02/06/2025,
3004 32,Allocated,CINOS LIMITED,10 digit numbers,30/08/2024,
3004 33,Free,,10 digit numbers,,
3004 34,Free,,10 digit numbers,,
3004 35,Allocated,IPV6 Limited,10 digit numbers,20/01/2009,
3004 36,Free,,10 digit numbers,,
3004 37,Free,,10 digit numbers,,
3004 38,Free,,10 digit numbers,,
3004 39,Free,,10 digit numbers,,
3004 40,Free,,10 digit numbers,,
3004 41,Free,,10 digit numbers,,
3004 42,Free,,10 digit numbers,,
3004 43,Allocated,Colt Technology Services,10 digit numbers,12/10/2022,
3004 44,Allocated,Reality Network Services Limited,10 digit numbers,26/03/2007,
3004 45,Free,,10 digit numbers,,
3004 46,Free,,10 digit numbers,,
3004 47,Free,,10 digit numbers,,
3004 48,Free,,10 digit numbers,,
3004 49,Free,,10 digit numbers,,
3004 50,Free,,10 digit numbers,,
3004 51,Free,,10 digit numbers,,
3004 52,Free,,10 digit numbers,,
3004 53,Free,,10 digit numbers,,
3004 54,Free,,10 digit numbers,,
3004 55,Allocated,TalkTalk Communications Limited,10 digit numbers,01/05/2014,
3004 56,Allocated,TalkTalk Communications Limited,10 digit numbers,07/11/2013,
3004 57,Free,,10 digit numbers,,
3004 58,Allocated,TalkTalk Communications Limited,10 digit numbers,01/05/2014,
3004 59,Free,,10 digit numbers,,
3004 60,Free,,10 digit numbers,,
3004 61,Free,,10 digit numbers,,
3004 62,Free,,10 digit numbers,,
3004 63,Free,,10 digit numbers,,
3004 64,Free,,10 digit numbers,,
3004 65,Free,,10 digit numbers,,
3004 66,Allocated,Dynamic Mobile Billing Limited,10 digit numbers,29/07/2009,
3004 67,Free,,10 digit numbers,,
3004 68,Free,,10 digit numbers,,
3004 69,Free,,10 digit numbers,,
3004 70,Allocated,BT,10 digit numbers,13/12/2013,
3004 71,Free,,10 digit numbers,,
3004 72,Free,,10 digit numbers,,
3004 73,Free,,10 digit numbers,,
3004 74,Free,,10 digit numbers,,
3004 75,Free,,10 digit numbers,,
3004 76,Free,,10 digit numbers,,
3004 77,Free,,10 digit numbers,,
3004 78,Free,,10 digit numbers,,
3004 79,Free,,10 digit numbers,,
3004 80,Free,,10 digit numbers,,
3004 81,Free,,10 digit numbers,,
